Theme blocks found: 34

=== Theme 0: primary=#8a6eff, interaction=#6d4aff, bg=#16141c ===
=== Theme 2: primary=#657ee4, interaction=#657ee4, bg=white ===
=== Theme 4: primary=#489aff, interaction=#0073ff, bg=#0e0d12 ===
=== Theme 6: primary=#4630a6, interaction=#4630a6, bg=#ffffff ===
=== Theme 8: primary=#6d4aff, interaction=#6d4aff, bg=white ===
=== Theme 10: primary=#9397cd, interaction=#9397cd, bg=white ===
=== Theme 12: primary=#8a6eff, interaction=#6d4aff, bg=#141414 ===
=== Theme 16: primary=#e53265, interaction=#e53265, bg=#16141c ===
=== Theme 18: primary=#7777f8, interaction=#b6b6ff, bg=#1f1f31 ===
=== Theme 22: primary=#8a6eff, interaction=#5817d1, bg=#fbf9fe ===
=== Theme 26: primary=#767dff, interaction=#767dff, bg=white ===
=== Theme 30: primary=#9494ff, interaction=#9494ff, bg=#222247 ===
=== Theme 32: primary=#767dff, interaction=#767dff, bg=#f3f5f6 ===
